timestamp,room,temperature_c,humidity_percent,co2_ppm,occupied
2026-02-02 09:00:00,Lab-A,19.89,57.67,757.0,True
2026-02-02 09:15:00,Lab-C,20.41,56.66,715.0,True
2026-02-02 09:30:00,Lab-C,19.41,60.61,584.0,True
2026-02-02 09:45:00,Lab-A,20.21,56.48,717.0,True
2026-02-02 10:00:00,Lab-B,20.83,56.14,557.0,True
2026-02-02 10:15:00,Lab-A,20.69,54.69,582.0,True
2026-02-02 10:30:00,Lab-A,21.68,56.24,428.0,False
2026-02-02 10:45:00,Lab-A,22.43,55.37,608.0,True
2026-02-02 11:00:00,Lab-A,21.15,56.08,569.0,True
2026-02-02 11:15:00,Lab-B,21.43,51.93,407.0,True
2026-02-02 11:30:00,Lab-C,22.0,51.45,559.0,True
2026-02-02 11:45:00,Lab-B,22.69,50.67,557.0,True
2026-02-02 12:00:00,Lab-C,21.44,52.48,784.0,False
2026-02-02 12:15:00,Lab-B,22.11,53.14,677.0,False
2026-02-02 12:30:00,Lab-A,22.79,48.44,572.0,False
2026-02-02 12:45:00,Lab-A,21.16,47.72,602.0,False
2026-02-02 13:00:00,Lab-A,21.24,48.39,579.0,False
2026-02-02 13:15:00,Lab-A,21.51,46.48,551.0,False
2026-02-02 13:30:00,Lab-C,21.32,48.09,447.0,True
2026-02-02 13:45:00,Lab-C,21.75,40.91,560.0,True
2026-02-02 14:00:00,Lab-C,21.31,43.02,,True
2026-02-02 14:15:00,Lab-B,20.19,42.4,,True
2026-02-02 14:30:00,Lab-B,21.0,38.65,644.0,True
2026-02-02 14:45:00,Lab-B,20.27,40.74,631.0,False
2026-02-02 15:00:00,Lab-B,20.86,40.27,372.0,True
2026-02-02 15:15:00,Lab-C,19.75,41.19,573.0,True
2026-02-02 15:30:00,Lab-C,19.5,43.37,708.0,True
2026-02-02 15:45:00,Lab-C,19.78,40.28,718.0,True
2026-02-02 16:00:00,Lab-B,19.64,38.4,715.0,True
2026-02-02 16:15:00,Lab-A,19.27,40.12,598.0,False
2026-02-02 16:30:00,Lab-C,18.1,42.18,494.0,True
2026-02-02 16:45:00,Lab-B,18.9,38.06,466.0,False
2026-02-02 17:00:00,Lab-C,18.02,38.19,639.0,True
2026-02-02 17:15:00,Lab-B,18.44,41.22,645.0,True
2026-02-02 17:30:00,Lab-C,17.57,39.82,755.0,True
2026-02-02 17:45:00,Lab-B,18.31,41.8,734.0,False
2026-02-02 18:00:00,Lab-C,17.68,40.8,588.0,False
2026-02-02 18:15:00,Lab-C,17.43,42.62,456.0,True
2026-02-02 18:30:00,Lab-A,18.32,39.6,569.0,False
2026-02-02 18:45:00,Lab-B,18.14,42.17,635.0,True
2026-02-02 19:00:00,Lab-B,17.81,42.35,586.0,False
2026-02-02 19:15:00,Lab-C,18.82,40.97,542.0,True
2026-02-02 19:30:00,Lab-C,18.08,40.95,643.0,True
2026-02-02 19:45:00,Lab-C,18.44,46.17,554.0,False
2026-02-02 20:00:00,Lab-B,18.71,44.84,541.0,True
2026-02-02 20:15:00,Lab-B,18.5,44.27,655.0,True
2026-02-02 20:30:00,Lab-B,19.2,46.91,571.0,True
2026-02-02 20:45:00,Lab-C,18.97,50.16,650.0,True
2026-02-02 21:00:00,Lab-A,19.26,44.14,655.0,False
2026-02-02 21:15:00,Lab-B,20.3,46.5,487.0,False
2026-02-02 21:30:00,Lab-A,19.47,48.42,567.0,False
2026-02-02 21:45:00,Lab-C,19.1,53.95,799.0,True
2026-02-02 22:00:00,Lab-B,21.16,52.31,489.0,True
2026-02-02 22:15:00,Lab-B,21.82,53.97,376.0,True
2026-02-02 22:30:00,Lab-B,20.72,50.8,408.0,True
2026-02-02 22:45:00,Lab-B,20.24,51.43,636.0,True
2026-02-02 23:00:00,Lab-C,21.17,55.1,638.0,False
2026-02-02 23:15:00,Lab-B,21.36,54.79,621.0,False
2026-02-02 23:30:00,Lab-B,21.56,56.18,783.0,False
2026-02-02 23:45:00,Lab-A,21.27,55.04,350.0,True
2026-02-03 00:00:00,Lab-A,22.14,56.24,688.0,True
2026-02-03 00:15:00,Lab-B,22.18,56.18,829.0,True
2026-02-03 00:30:00,Lab-C,21.32,57.53,508.0,True
2026-02-03 00:45:00,Lab-C,22.31,57.61,599.0,True
2026-02-03 01:00:00,Lab-B,22.9,52.71,556.0,True
2026-02-03 01:15:00,Lab-B,22.0,51.32,540.0,True
2026-02-03 01:30:00,Lab-B,21.69,57.61,610.0,False
2026-02-03 01:45:00,Lab-A,21.67,57.69,822.0,True
2026-02-03 02:00:00,Lab-A,21.87,52.91,872.0,False
2026-02-03 02:15:00,Lab-B,20.66,50.81,613.0,True
2026-02-03 02:30:00,Lab-A,21.32,54.23,884.0,True
2026-02-03 02:45:00,Lab-A,20.87,55.34,661.0,True
2026-02-03 03:00:00,Lab-A,21.66,56.46,868.0,True
2026-02-03 03:15:00,Lab-A,20.51,53.24,648.0,True
2026-02-03 03:30:00,Lab-B,21.1,50.76,677.0,True
2026-02-03 03:45:00,Lab-C,19.6,48.99,706.0,False
2026-02-03 04:00:00,Lab-C,20.11,50.03,1045.0,True
2026-02-03 04:15:00,Lab-B,19.75,48.63,768.0,True
2026-02-03 04:30:00,Lab-B,18.97,46.4,582.0,True
2026-02-03 04:45:00,Lab-A,19.21,51.73,785.0,True
2026-02-03 05:00:00,Lab-A,19.46,50.41,627.0,True
2026-02-03 05:15:00,Lab-B,18.57,48.32,613.0,True
2026-02-03 05:30:00,Lab-B,17.77,43.45,782.0,False
2026-02-03 05:45:00,Lab-A,18.37,46.26,678.0,False
2026-02-03 06:00:00,Lab-B,17.83,45.12,709.0,False
2026-02-03 06:15:00,Lab-A,17.98,44.07,679.0,True
2026-02-03 06:30:00,Lab-A,18.02,45.07,719.0,True
2026-02-03 06:45:00,Lab-C,17.25,43.28,731.0,False
2026-02-03 07:00:00,Lab-B,17.27,42.99,450.0,True
2026-02-03 07:15:00,Lab-B,18.23,42.35,763.0,True
