Item Code,Item Name,Category Code,Category Name,Original Item Name,Original Category Code,Original Category Name
102900005115168,Standard Romaine Lettuce (Loose),EU01,Leafy Greens,Niushou Shengcai,1011010101,Flower/Leaf Vegetables
102900005115199,Standard Butterhead Lettuce (500g pack),EU01,Leafy Greens,Sichuan Red Cedar,1011010101,Flower/Leaf Vegetables
102900005115625,Standard Baby Spinach (1kg pack),EU01,Leafy Greens,Local Xiaomao Cabbage,1011010101,Flower/Leaf Vegetables
102900005115748,Standard Rocket (Bunch),EU01,Leafy Greens,White Caitai,1011010101,Flower/Leaf Vegetables
102900005115762,Standard Swiss Chard (Punnet),EU01,Leafy Greens,Amaranth,1011010101,Flower/Leaf Vegetables
102900005115779,Standard Curly Kale (Net),EU01,Leafy Greens,Yunnan Shengcai,1011010101,Flower/Leaf Vegetables
102900005115786,Standard Flat Leaf Parsley (Tray),EU01,Leafy Greens,Zhuyecai,1011010101,Flower/Leaf Vegetables
102900005115793,Standard Coriander (Bag),EU01,Leafy Greens,Chinese Cabbage,1011010101,Flower/Leaf Vegetables
102900005115816,Standard Pak Choi (Loose),EU01,Leafy Greens,Nanguajian,1011010101,Flower/Leaf Vegetables
102900005115823,Standard Endive (500g pack),EU01,Leafy Greens,Shanghaiqing,1011010101,Flower/Leaf Vegetables
102900005115854,Standard Lambs Lettuce (1kg pack),EU01,Leafy Greens,Radish Leaves,1011010101,Flower/Leaf Vegetables
102900005115861,Standard Watercress (Bunch),EU01,Leafy Greens,Niushou Youcai,1011010101,Flower/Leaf Vegetables
102900005115878,Standard Mixed Salad Leaves (Punnet),EU01,Leafy Greens,Garden Chrysanthemum,1011010101,Flower/Leaf Vegetables
102900005115885,Standard Spring Greens (Net),EU01,Leafy Greens,Caidian Quinoa Artemisia,1011010101,Flower/Leaf Vegetables
102900005115908,Standard Radicchio (Tray),EU01,Leafy Greens,Caixin,1011010101,Flower/Leaf Vegetables
102900005115946,Standard Little Gem Lettuce (Bag),EU01,Leafy Greens,Muercai,1011010101,Flower/Leaf Vegetables
102900005115960,Standard Savoy Spinach (Loose),EU01,Leafy Greens,Chinese Cabbage,1011010101,Flower/Leaf Vegetables
102900005115977,Standard Beet Greens (500g pack),EU01,Leafy Greens,Wandoujian,1011010101,Flower/Leaf Vegetables
102900005115984,Standard Green Lettuce (1kg pack),EU01,Leafy Greens,Yunnan Lettuces,1011010101,Flower/Leaf Vegetables
102900005116639,Standard Red Lettuce (Bunch),EU01,Leafy Greens,Machixian,1011010101,Flower/Leaf Vegetables
102900005116776,Select Romaine Lettuce (Punnet),EU01,Leafy Greens,Local Spinach,1011010101,Flower/Leaf Vegetables
102900005116790,Select Butterhead Lettuce (Net),EU01,Leafy Greens,Yellow Xincai (1),1011010101,Flower/Leaf Vegetables
102900005116806,Select Baby Spinach (Tray),EU01,Leafy Greens,Black Rapeseed,1011010101,Flower/Leaf Vegetables
102900005118572,Select Rocket (Bag),EU01,Leafy Greens,Local Shanghaiqing,1011010101,Flower/Leaf Vegetables
102900005118817,Select Swiss Chard (Loose),EU01,Leafy Greens,Spinach,1011010101,Flower/Leaf Vegetables
102900005118831,Select Curly Kale (500g pack),EU01,Leafy Greens,Wawacai,1011010101,Flower/Leaf Vegetables
102900005119975,Select Flat Leaf Parsley (1kg pack),EU01,Leafy Greens,Hongshujian,1011010101,Flower/Leaf Vegetables
102900005122654,Select Coriander (Bunch),EU01,Leafy Greens,Zhijiang Red Bolt,1011010101,Flower/Leaf Vegetables
102900005128748,Select Pak Choi (Punnet),EU01,Leafy Greens,Huanghuacai,1011010101,Flower/Leaf Vegetables
102900011000175,Select Endive (Net),EU01,Leafy Greens,Kuaicai,1011010101,Flower/Leaf Vegetables
102900011000571,Select Lambs Lettuce (Tray),EU01,Leafy Greens,Suizhou Bubble Green,1011010101,Flower/Leaf Vegetables
102900011002414,Select Watercress (Bag),EU01,Leafy Greens,Panax Notoginseng,1011010101,Flower/Leaf Vegetables
102900011006689,Select Mixed Salad Leaves (Loose),EU01,Leafy Greens,Dongmenkou Xiaobaicai,1011010101,Flower/Leaf Vegetables
102900011006948,Select Spring Greens (500g pack),EU01,Leafy Greens,Foreign Garland Chrysanthemum ,1011010101,Flower/Leaf Vegetables
102900011006955,Select Radicchio (1kg pack),EU01,Leafy Greens,Ice Grass,1011010101,Flower/Leaf Vegetables
102900011007464,Select Little Gem Lettuce (Bunch),EU01,Leafy Greens,Perilla,1011010101,Flower/Leaf Vegetables
102900011007471,Select Savoy Spinach (Punnet),EU01,Leafy Greens,Mint,1011010101,Flower/Leaf Vegetables
102900011007495,Select Beet Greens (Net),EU01,Leafy Greens,The Dandelion,1011010101,Flower/Leaf Vegetables
102900011008133,Select Green Lettuce (Tray),EU01,Leafy Greens,Siguajian,1011010101,Flower/Leaf Vegetables
102900011008164,Select Red Lettuce (Bag),EU01,Leafy Greens,Naibaicai,1011010101,Flower/Leaf Vegetables
102900011008485,Organic Romaine Lettuce (Loose),EU01,Leafy Greens,Mustard,1011010101,Flower/Leaf Vegetables
102900011008492,Organic Butterhead Lettuce (500g pack),EU01,Leafy Greens,Big Broccoli,1011010101,Flower/Leaf Vegetables
102900011008515,Organic Baby Spinach (1kg pack),EU01,Leafy Greens,Miantiaocai,1011010101,Flower/Leaf Vegetables
102900011008522,Organic Rocket (Bunch),EU01,Leafy Greens,Sweet Chinese Cabbage,1011010101,Flower/Leaf Vegetables
102900011008676,Organic Swiss Chard (Punnet),EU01,Leafy Greens,Jicai,1011010101,Flower/Leaf Vegetables
102900011015384,Organic Curly Kale (Net),EU01,Leafy Greens,Malan Head,1011010101,Flower/Leaf Vegetables
102900011015391,Organic Flat Leaf Parsley (Tray),EU01,Leafy Greens,Ganlanye,1011010101,Flower/Leaf Vegetables
102900011021644,Organic Coriander (Bag),EU01,Leafy Greens,Hongshan Caitai,1011010101,Flower/Leaf Vegetables
102900011022849,Organic Pak Choi (Loose),EU01,Leafy Greens,The Local Yellow Youcai,1011010101,Flower/Leaf Vegetables
102900011022924,Organic Endive (500g pack),EU01,Leafy Greens,Green Caitai,1011010101,Flower/Leaf Vegetables
102900011023464,Organic Lambs Lettuce (1kg pack),EU01,Leafy Greens,Xiaoqingcai (1),1011010101,Flower/Leaf Vegetables
102900011026502,Organic Watercress (Bunch),EU01,Leafy Greens,Fresh Rice Dumplings Leaves,1011010101,Flower/Leaf Vegetables
102900011026618,Organic Mixed Salad Leaves (Punnet),EU01,Leafy Greens,Aihao,1011010101,Flower/Leaf Vegetables
102900011027462,Organic Spring Greens (Net),EU01,Leafy Greens,Naibai Caimiao,1011010101,Flower/Leaf Vegetables
102900011027615,Organic Radicchio (Tray),EU01,Leafy Greens,Juhua Youcai,1011010101,Flower/Leaf Vegetables
102900011029688,Organic Little Gem Lettuce (Bag),EU01,Leafy Greens,Shuanggou Cabbage,1011010101,Flower/Leaf Vegetables
