Item Code,Item Name,Loss Rate (%),Original Item Name
102900005115168,Standard Romaine Lettuce (Loose),4.39,Niushou Shengcai
102900005115199,Standard Butterhead Lettuce (500g pack),10.46,Sichuan Red Cedar
102900005115250,Family Pack Organic Mushrooms (Punnet),10.8,Xixia Black Mushroom (1)
102900005115625,Standard Baby Spinach (1kg pack),0.18,Local Xiaomao Cabbage
102900005115748,Standard Rocket (Bunch),8.78,White Caitai
102900005115762,Standard Swiss Chard (Punnet),18.52,Amaranth
102900005115779,Standard Curly Kale (Net),15.25,Yunnan Shengcai
102900005115786,Standard Flat Leaf Parsley (Tray),13.62,Zhuyecai
102900005115793,Standard Coriander (Bag),7.59,Chinese Cabbage
102900005115816,Standard Pak Choi (Loose),13.46,Nanguajian
102900005115823,Standard Endive (500g pack),14.43,Shanghaiqing
102900005115854,Standard Lambs Lettuce (1kg pack),5.35,Radish Leaves
102900005115861,Standard Watercress (Bunch),12.17,Niushou Youcai
102900005115878,Standard Mixed Salad Leaves (Punnet),6.27,Garden Chrysanthemum
102900005115885,Standard Spring Greens (Net),0.47,Caidian Quinoa Artemisia
102900005115908,Standard Radicchio (Tray),13.7,Caixin
102900005115946,Standard Little Gem Lettuce (Bag),7.61,Muercai
102900005115960,Standard Savoy Spinach (Loose),22.27,Chinese Cabbage
102900005115977,Standard Beet Greens (500g pack),8.36,Wandoujian
102900005115984,Standard Green Lettuce (1kg pack),12.81,Yunnan Lettuces
102900005116042,Class I Radishes (500g pack),15.32,Lotus Root
102900005116219,Select Green Bell Pepper (Bag),6.73,Red Hot Peppers
102900005116226,Select Orange Bell Pepper (Loose),6.72,Green Hot Peppers
102900005116233,Select Sweet Pointed Pepper (500g pack),11.76,Red Pepper (1)
102900005116257,Organic Cucumbers (Net),6.07,Eggplant (2)
102900005116509,Organic Vine Tomatoes (Tray),5.01,Green Eggplant (1)
102900005116530,Seasonal Chestnut Mushrooms (Net),13.82,Xixia Mushroom (1)
102900005116547,Seasonal Button Mushrooms (Tray),3.43,Needle Mushroom (1)
102900005116639,Standard Red Lettuce (Bunch),11.78,Machixian
102900005116714,Organic Broccoli (Net),9.26,Broccoli
102900005116776,Select Romaine Lettuce (Punnet),10.46,Local Spinach
102900005116790,Select Butterhead Lettuce (Net),10.64,Yellow Xincai (1)
102900005116806,Select Baby Spinach (Tray),0.1,Black Rapeseed
102900005116837,Seasonal Portobello Mushrooms (Bag),11.6,Ping Mushroom
102900005116899,Class I Leeks (1kg pack),5.54,Net Lotus Root (1)
102900005116905,Select Padron Peppers (1kg pack),0.0,Green Hangjiao (1)
102900005116912,Seasonal Oyster Mushrooms (Loose),8.99,Jigu Mushroom (1)
102900005116943,Select Jalapeno Chillies (Bunch),9.99,Red Hang Pepper
102900005117056,Select Red Chillies (Punnet),7.08,Paopaojiao (Jingpin)
102900005117209,Select Green Chillies (Net),15.98,7 Colour Pepper (1)
102900005117353,Seasonal Shiitake Mushrooms (500g pack),9.43,The White Mushroom (1)
102900005118572,Select Rocket (Bag),11.99,Local Shanghaiqing
102900005118817,Select Swiss Chard (Loose),18.51,Spinach
102900005118824,Class I Fennel (Bunch),29.25,High Melon (1)
