Date,Item Code,Wholesale Price (EUR/kg)
2020-07-01,102900005115762,0.7
2020-07-01,102900005115779,1.21
2020-07-01,102900005115786,0.57
2020-07-01,102900005115793,1.66
2020-07-01,102900005115823,1.27
2020-07-01,102900005115908,0.83
2020-07-01,102900005115946,0.76
2020-07-01,102900005115960,0.38
2020-07-01,102900005115984,0.62
2020-07-01,102900005116226,0.84
2020-07-01,102900005116233,1.04
2020-07-01,102900005116257,1.18
2020-07-01,102900005116509,0.29
2020-07-01,102900005116530,1.94
2020-07-01,102900005116547,0.73
2020-07-01,102900005116714,1.66
2020-07-01,102900005116790,0.71
2020-07-01,102900005116912,1.47
2020-07-01,102900005116943,1.41
2020-07-01,102900005117056,0.78
2020-07-01,102900005117209,1.36
2020-07-01,102900005118817,1.52
2020-07-01,102900005118824,1.02
2020-07-01,102900005118831,0.74
2020-07-01,102900005119944,1.85
2020-07-01,102900005119975,0.65
2020-07-01,102900005123880,1.35
2020-07-01,102900005125808,2.18
2020-07-01,102900005125815,1.11
2020-07-01,102900011001219,1.48
2020-07-01,102900011006948,2.1
2020-07-01,102900011008522,0.8
2020-07-01,102900011009970,1.09
2020-07-01,102900051000944,5.3
2020-07-01,102900051004294,1.23
2020-07-01,102900051010455,0.83
2020-07-02,102900005115762,0.71
2020-07-02,102900005115779,0.76
2020-07-02,102900005115786,0.57
2020-07-02,102900005115793,1.65
2020-07-02,102900005115823,1.27
2020-07-02,102900005115908,0.81
2020-07-02,102900005115946,0.76
2020-07-02,102900005115960,0.38
2020-07-02,102900005115984,0.64
2020-07-02,102900005116226,0.82
2020-07-02,102900005116233,1.03
2020-07-02,102900005116257,0.67
2020-07-02,102900005116509,0.26
2020-07-02,102900005116530,1.94
2020-07-02,102900005116547,0.73
2020-07-02,102900005116714,1.6
2020-07-02,102900005116790,0.71
2020-07-02,102900005116912,1.45
2020-07-02,102900005116943,1.31
2020-07-02,102900005117056,0.81
2020-07-02,102900005117209,1.32
2020-07-02,102900005118817,1.42
2020-07-02,102900005118824,1.04
2020-07-02,102900005118831,0.74
2020-07-02,102900005119944,1.82
2020-07-02,102900005119975,0.65
2020-07-02,102900005123880,1.16
2020-07-02,102900005125808,2.18
2020-07-02,102900005125815,1.11
2020-07-02,102900011000328,1.28
2020-07-02,102900011001219,1.48
2020-07-02,102900011006689,1.23
2020-07-02,102900011006948,2.11
2020-07-02,102900011008522,0.8
2020-07-02,102900011009970,0.99
2020-07-02,102900051000944,5.32
2020-07-02,102900051004294,1.23
2020-07-02,102900051010455,0.86
2020-07-03,102900005115762,0.64
2020-07-03,102900005115779,0.83
2020-07-03,102900005115786,0.68
2020-07-03,102900005115793,1.66
2020-07-03,102900005115823,1.22
